Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
be,our,theyve,,,,,,wholl,,cant,having,followed,dont,wouldnt,quick*,than,,oughtn't,lot,,shit*,call,mum's,,man's,apath*,bright*,bore*,tense*,destruct*,inferior* ,anything,considered,generate*,ought've,guessing,factual*,disregard*,,,dry*,round*,speech*,rough*,fatigu*,colons,congest*,hugg*,eat,intersect*,coming,deep*,christmas*,classes,determina*,cinema*,home,compensat*,heaven*,manslaughter*,,,
became,ours,they've,,,,,,who'll,,can't,hed,forgot*,don't,wouldn't,rarely,through*,,shant,lotof,,sob,called,nephew*,,members,appall*,brillian*,boring,tensing,disgust*,isolat*,anytime,considering,generating,outstanding,halfass*,forever,duti*,,,ear,saw,spoke*,round*,fats,cornea*,constipat*,hugs,eaten,interval*,cross*,dense,clock*,classmate*,determined,club*,homes,consumer*,hell,massacre*,,,
because,ourselves,thine,,,,,,whom,,care,he'd,fought,explain,wouldve,rather,thru,,shan't,lots,,sonofa*,caller*,niece*,,men,appreciat*,calm*,bother*,tension*,distrust*,lame*,anywhere,considers,generator*,prefer*,hardly,frankly,duty,,,ears,scan,thunder*,rub,fatt*,crap,contag*,hump*,eating,into,cruis*,densit*,common,classroom*,diligen*,coach*,homesick*,corporat*,hellish,mausoleum*,,,
become,she,thou,,,,,,whose,,cared,heres,found,explains,would've,really,til ,,shouldnt,lotsa,,suck,calling,pa,,men'*,apprehens*,care,broke,terribl*,domina*,lone*,apparent,contemplat*,hence,problem*,hazie*,fundamental,enclos*,,,edge,scann*,voic*,rubbed,fed,crotch,coronar*,incest*,eats,january,danc*,depth*,constant ,collab*,domina*,cocktail*,homework*,cost*,hells,morgue*,,,
becomes,she'd,thoust,,,,,,,,cares,here's,fucked*,feel,youll,seriously,till,,should'nt,lotta,,sucked,calls,pappy,,mr ,argh*,cared,brutal*,terrified,dumb*,longing*,apparently,correlat*,how,rather,hazy,fundamentalis*,fenc*,,,edges,scans,whisper*,rubbing,feed,dick,cough*,jissom,egg*,jog*,deliver*,diagonal*,constantly,colleague*,domote*,coffee*,house*,coupon*,hindu*,mortal*,,,
becoming,she'll,thy,,,,,,,,carried,hes,gave,feels,you'll,simply,to,,shouldn't,main,,sucks,captain,parent*,,mrs,argu*,carefree,burden*,terrifies,dump*,lose,appear,curio*,hows,regardless,hesita*,fundamentally,forbid*,,,edging,screen,yell,rubs,feeder*,dicks,cramp*,jizz,espresso*,journey*,depart,distan*,continu*,colleg*,driven,comed*,housing,credit*,holie*,mortician*,,,
been,shes,us,,,,,,,,carries,he's,given,follow,,so,toward*,,uhuh,major,,tit,celebrat*,pa's,,newborn*,arrogan*,careful*,careless*,terrify,enemie*,loser*,appeared,decid*,how's,regret*,hope,fundamentals,forgot*,,,experienc*,see,yelled,sand,feeding*,drool*,cyst*,kiss*,fat,july,departed,down,current*,com,dropout*,comic*,kitchen*,currenc*,holy,mourn*,,,
before,she's,we,,,,,,,,carry,Id,gone,follows,,somehow,under,,wasnt,majority,,tits,cell,relatives,,participant*,asham*,cares,cheat*,terrifying,enemy*,loses,appearing,decis*,ignit*,should,hoped,guarant*,guard*,,,eye*,seeing,yelling,sands,feeds,ear,deaf*,lesbian*,fats,jump*,departing,downward*,cycle*,commerc*,earn*,concert*,landlord*,customer*,hymn*,murder*,,,
behind,somebod*,we'd,,,,,,,,caught,I'd,got,fuck,,soon,underneath,,wasn't,many,,titties,cellphon*,sis,,partner*,assault*,caring,complain*,terror*,enrag*,losing,appears,deduc*,implica*,shouldnt,hopeful,implicit*,halt*,,,eying,seen,yells,sandy,feet,ears,decongest*,libid*,fatt*,june,departs,east*,dail*,commute*,effect*,cook*,lawn*,debit*,immoral*,obit*,,,
being,someone*,we'll,,,,,,,,changed,I'll,gotten,fucks,,sooo*,unless,,weren't,more,,titty,cells,sister*,,people*,asshole*,casual,confront*,thief,envie*,loss*,appreciat*,define,implie*,should'nt,hopefully,indeed,hangup*,,,feel,seer,,scratch*,fever*,elbow*,dentist*,love,fed,kilometer*,departure*,edge,date*,commuting,efficien*,cruis*,lease*,debt*,immortal*,od,,,
below,something*,we're,,,,,,,,come,Im,guessed,get,,still,until,,without,most,,wanker*,cellular*,son,,person,assur*,casually,confus*,thieve*,envious,lost,approximat*,defines,imply*,shouldn't,hopefulness,inevitab*,harness*,,,feeling*,sees,,sharp*,finger*,erectile,derma*,loved,feed,km*,disappear*,edges,day*,companies,effort*,danc*,leasing*,deposit*,islam*,oded,,,
beneath,somewhere,weve,,,,,,,,comes,I'm,had,gets,,such,unto,,wont,much,,,chat*,sons,,persons,attachment*,certain*,contempt*,threat*,envy*,low*,arbitrar*,defining,inact*,shoulds,hopes,infallib*,held,,,feels,shine,,silk*,flesh*,erection*,detox*,lover*,feeder*,land,drift*,edging,decade*,company,elit*,decorat*,loft,dime*,jesuit*,overdosed,,,
beside,stuff,we've,,,,,,,,could,is,hadnt,give,,there,up,,won't,mucho,,,chick,son's,,person's,attack*,challeng*,contradic*,ticked,evil*,melanchol*,around,determina*,independ*,shouldve,hoping,invariab*,hesita*,,,felt,shini*,,skin,flu,eye*,diabet*,loves,feeding*,large*,drive,empt*,decay*,comput*,enabl*,diaries,lofts,dinar*,jesus,pallbearer*,,,
besides,that,ya,,,,,,,,couldnt,isnt,hadn't,gives,,theres,upon,,wouldnt,neither,,,chick'*,spous*,,self ,attract*,champ*,crap,timid*,feroc*,miser*,assum*,determine,induc*,should've,hypothes*,irrefu*,hold*,,,fetid*,shiny,,skin'*,food*,face,diagnos*,lust*,feeds,last*,driven,enclos*,december,conferenc*,endeav*,diary,loveseat*,dinero,jew,plague*,,,
